feature,importance
feature_180,0.35446476065654337
feature_37,0.09193733693868979
feature_20,0.08014011046641298
feature_18,0.0753684755489627
feature_19,0.0616813680991699
feature_7,0.05513668937262164
feature_5,0.03580755684658797
feature_177,0.03333028462415749
feature_164,0.026072123598151642
feature_150,0.02579703938134888
feature_22,0.025731782967982002
feature_21,0.0219874063776753
feature_25,0.015579503048809121
feature_144,0.011360532101997563
feature_128,0.010305557482722901
feature_169,0.009227176800681969
feature_6,0.008134395194414973
feature_0,0.006602467880185882
feature_9,0.005627809614751715
feature_3,0.0053721534159988996
feature_26,0.004236553544966366
feature_4,0.00411378187401245
feature_109,0.003907044579277488
feature_179,0.0035980215646428744
feature_10,0.0029933826687288806
feature_11,0.0021951200278295443
feature_173,0.0020487649520867976
feature_1,0.0019971822478348756
feature_2,0.001995467291171665
feature_171,0.0018707917879046034
feature_12,0.0015081190463932315
feature_168,0.001394110677848036
feature_167,0.0013080185521113159
feature_8,0.0012704109598415086
feature_166,0.0007866875605488086
feature_73,0.0007733445455102214
feature_175,0.0006399087171077452
feature_14,0.0006332879472988312
feature_23,0.0006143223454572705
feature_29,0.0005606966606239285
feature_13,0.00045550805235288627
feature_182,0.00030432864824042133
feature_68,0.00017881046984516495
feature_24,0.00017875723582967302
feature_27,0.00016356666009833407
feature_165,0.0001612603309376108
feature_28,9.535275883772241e-05
feature_183,9.470569598803535e-05
feature_16,8.561909946678409e-05
feature_15,5.6964961030323265e-05
feature_172,3.494549608970905e-05
feature_122,2.5875550848164227e-05
feature_17,1.5596601048246887e-05
feature_111,1.5029927577580298e-05
feature_174,6.952992605558717e-06
feature_178,6.940938659611792e-06
feature_30,5.3376851289874575e-06
feature_115,3.530175012737291e-06
feature_131,9.122414270105213e-07
feature_176,4.565099121834012e-07
feature_48,8.249548848608993e-18
feature_42,7.595105461051056e-18
feature_129,7.563756448463167e-18
feature_140,5.913303843633922e-18
feature_124,4.53183002662754e-18
feature_91,3.1381648020937525e-18
feature_88,2.0201535717202774e-18
feature_134,1.4196999437831638e-18
feature_101,1.3922220502686353e-18
feature_142,1.364454866208496e-18
feature_93,1.044552565312567e-18
feature_156,9.500894917981794e-19
feature_78,9.294089979832514e-19
feature_66,9.260639142892653e-19
feature_147,9.199093318076984e-19
feature_125,7.885490963737927e-19
feature_85,7.479495201839231e-19
feature_133,7.406886027755854e-19
feature_130,7.279344969336238e-19
feature_69,7.239963724115294e-19
feature_114,7.173213226518686e-19
feature_38,7.169887140437148e-19
feature_54,7.127992766681167e-19
feature_117,7.089542094356914e-19
feature_62,7.057618322213879e-19
feature_79,7.012365310731136e-19
feature_96,6.999229309132402e-19
feature_51,6.965522771320259e-19
feature_102,6.836479936345245e-19
feature_148,6.825965999883871e-19
feature_155,6.747629157105257e-19
feature_36,6.70881729281538e-19
feature_43,6.692778781135228e-19
feature_72,5.747166578524683e-19
feature_136,4.134948163195365e-19
feature_185,2.4834316199780443e-19
feature_181,9.995722468695864e-20
feature_170,5.364304321650883e-20
feature_123,2.38426688079792e-21
feature_146,0.0
feature_145,0.0
feature_149,0.0
feature_53,0.0
feature_152,0.0
feature_143,0.0
feature_52,0.0
feature_141,0.0
feature_55,0.0
feature_139,0.0
feature_138,0.0
feature_151,0.0
feature_161,0.0
feature_153,0.0
feature_154,0.0
feature_184,0.0
feature_31,0.0
feature_32,0.0
feature_33,0.0
feature_34,0.0
feature_35,0.0
feature_39,0.0
feature_40,0.0
feature_41,0.0
feature_44,0.0
feature_45,0.0
feature_46,0.0
feature_47,0.0
feature_49,0.0
feature_50,0.0
feature_163,0.0
feature_162,0.0
feature_160,0.0
feature_159,0.0
feature_158,0.0
feature_157,0.0
feature_137,0.0
feature_71,0.0
feature_135,0.0
feature_65,0.0
feature_99,0.0
feature_98,0.0
feature_97,0.0
feature_95,0.0
feature_94,0.0
feature_92,0.0
feature_67,0.0
feature_90,0.0
feature_89,0.0
feature_87,0.0
feature_86,0.0
feature_84,0.0
feature_83,0.0
feature_82,0.0
feature_81,0.0
feature_80,0.0
feature_77,0.0
feature_76,0.0
feature_75,0.0
feature_74,0.0
feature_70,0.0
feature_100,0.0
feature_103,0.0
feature_56,0.0
feature_104,0.0
feature_132,0.0
feature_57,0.0
feature_58,0.0
feature_127,0.0
feature_126,0.0
feature_60,0.0
feature_61,0.0
feature_121,0.0
feature_120,0.0
feature_119,0.0
feature_118,0.0
feature_116,0.0
feature_113,0.0
feature_112,0.0
feature_63,0.0
feature_110,0.0
feature_64,0.0
feature_108,0.0
feature_107,0.0
feature_106,0.0
feature_105,0.0
feature_59,0.0
