feature,importance
feature_22,0.07654423923524499
feature_18,0.07562840815420961
feature_6,0.07120222482062004
feature_19,0.0651317618995281
feature_20,0.06443634107219215
feature_7,0.0601780662865176
feature_5,0.05971827704373406
feature_0,0.04380787667691481
feature_4,0.043598755671197836
feature_10,0.04344804809195205
feature_3,0.03866248866281202
feature_21,0.03667398494166083
feature_12,0.03437526119493285
feature_11,0.026832938566109403
feature_9,0.026554718231621
feature_1,0.025251818582838162
feature_2,0.025176825414147272
feature_13,0.01959596568918505
feature_25,0.019393614362911867
feature_180,0.01687452043562394
feature_177,0.013577815764686306
feature_8,0.013252194611534505
feature_37,0.010961561554150418
feature_16,0.010127320834286519
feature_150,0.008427842844815655
feature_14,0.007924948342022049
feature_164,0.006794786787898389
feature_26,0.006149509444140311
feature_24,0.005974284687906228
feature_144,0.005456567154275626
feature_30,0.0048596654130568726
feature_29,0.004659520213324752
feature_15,0.00403749328418445
feature_169,0.003927571791296929
feature_23,0.0031208229472119878
feature_128,0.0019965926475624973
feature_179,0.001974375849112984
feature_166,0.0018786706439934816
feature_173,0.001663747112322151
feature_182,0.001459829075494773
feature_17,0.001292016343129335
feature_168,0.0012207613775770138
feature_109,0.0009194575652095294
feature_175,0.0009066654026241878
feature_171,0.0007617280742698507
feature_151,0.0005353442507900811
feature_28,0.0005242243261490466
feature_73,0.00040600630909737453
feature_167,0.00037692590994140246
feature_27,0.00035201107564143837
feature_83,0.00022438948698350143
feature_102,0.00018504892596540962
feature_68,0.0001422530298971761
feature_178,0.00011448086536316616
feature_141,9.284120206039598e-05
feature_183,8.949667894476162e-05
feature_42,8.910038048580738e-05
feature_165,8.199026035613324e-05
feature_142,5.637462486271689e-05
feature_131,5.340899897885524e-05
feature_139,4.6094586860759976e-05
feature_123,4.5614369495402e-05
feature_172,4.0310922372386706e-05
feature_111,2.2646073907787716e-05
feature_104,2.1545199898058723e-05
feature_170,1.2293500939463835e-05
feature_176,1.120867001658892e-05
feature_63,5.921456807602044e-06
feature_54,5.7697445573382615e-06
feature_174,5.5070211642107436e-06
feature_65,3.584270730117479e-06
feature_60,3.5456490478342636e-06
feature_76,3.51552434992373e-06
feature_108,2.21408348363895e-06
feature_120,1.8574654730569998e-06
feature_61,1.8236650858300147e-06
feature_75,1.7114261740412432e-06
feature_44,1.5913127024008198e-06
feature_35,1.3863115852265703e-06
feature_40,1.380690505982249e-06
feature_74,1.3484123307107544e-06
feature_115,1.3471396280418133e-06
feature_69,1.3109864058384124e-06
feature_39,1.254989663991318e-06
feature_147,1.1535477758546508e-06
feature_162,1.1328828408945746e-06
feature_121,1.08415589138513e-06
feature_125,1.0509866955020255e-06
feature_84,9.378212643214893e-07
feature_34,8.888553755437636e-07
feature_103,8.433006459369587e-07
feature_81,8.092929577481265e-07
feature_106,8.048584057204664e-07
feature_80,7.802371391316156e-07
feature_146,5.825100091554557e-07
feature_149,5.818338731936665e-07
