feature,importance
feature_21,1624
feature_3,1562
feature_19,842
feature_20,837
feature_6,771
feature_16,745
feature_15,694
feature_18,670
feature_4,641
feature_7,635
feature_0,579
feature_22,561
feature_10,561
feature_25,560
feature_12,469
feature_13,467
feature_5,458
feature_11,361
feature_8,327
feature_1,271
feature_26,267
feature_24,255
feature_2,220
feature_9,202
feature_29,100
feature_128,97
feature_150,91
feature_164,84
feature_37,74
feature_23,64
feature_180,61
feature_177,59
feature_166,58
feature_151,57
feature_169,49
feature_168,44
feature_109,43
feature_83,39
feature_182,35
feature_165,32
feature_173,29
feature_14,27
feature_131,25
feature_167,21
feature_30,15
feature_27,10
feature_123,8
feature_139,7
feature_144,7
feature_104,6
feature_183,2
feature_111,2
feature_28,1
feature_179,1
feature_171,1
feature_42,1
feature_133,0
feature_132,0
feature_130,0
feature_129,0
feature_184,0
feature_134,0
feature_127,0
feature_178,0
feature_121,0
feature_126,0
feature_125,0
feature_124,0
feature_122,0
feature_136,0
feature_120,0
feature_119,0
feature_118,0
feature_117,0
feature_116,0
feature_115,0
feature_114,0
feature_113,0
feature_112,0
feature_135,0
feature_143,0
feature_137,0
feature_157,0
feature_176,0
feature_175,0
feature_174,0
feature_172,0
feature_170,0
feature_181,0
feature_163,0
feature_162,0
feature_110,0
feature_160,0
feature_159,0
feature_158,0
feature_156,0
feature_138,0
feature_155,0
feature_154,0
feature_153,0
feature_152,0
feature_149,0
feature_148,0
feature_147,0
feature_146,0
feature_145,0
feature_142,0
feature_141,0
feature_140,0
feature_161,0
feature_93,0
feature_108,0
feature_49,0
feature_51,0
feature_52,0
feature_53,0
feature_54,0
feature_55,0
feature_56,0
feature_57,0
feature_58,0
feature_59,0
feature_60,0
feature_61,0
feature_62,0
feature_63,0
feature_64,0
feature_65,0
feature_50,0
feature_48,0
feature_67,0
feature_47,0
feature_17,0
feature_31,0
feature_32,0
feature_33,0
feature_34,0
feature_35,0
feature_36,0
feature_38,0
feature_39,0
feature_40,0
feature_41,0
feature_43,0
feature_44,0
feature_45,0
feature_46,0
feature_66,0
feature_68,0
feature_107,0
feature_88,0
feature_90,0
feature_91,0
feature_92,0
feature_94,0
feature_95,0
feature_96,0
feature_97,0
feature_98,0
feature_99,0
feature_100,0
feature_101,0
feature_102,0
feature_103,0
feature_105,0
feature_106,0
feature_89,0
feature_87,0
feature_69,0
feature_86,0
feature_70,0
feature_71,0
feature_72,0
feature_73,0
feature_74,0
feature_75,0
feature_76,0
feature_77,0
feature_78,0
feature_79,0
feature_80,0
feature_81,0
feature_82,0
feature_84,0
feature_85,0
feature_185,0
