feature,importance
feature_5,0.06498737137868343
feature_6,0.06387682210257704
feature_18,0.06273517790171564
feature_7,0.05962650323067757
feature_19,0.05455979223793943
feature_4,0.049824505180667174
feature_22,0.04859973941421887
feature_11,0.04859864552708602
feature_0,0.047110457646781116
feature_3,0.046357280340929535
feature_2,0.042833188321361355
feature_20,0.0425321554929644
feature_21,0.03676958898389182
feature_10,0.03594550353610473
feature_180,0.0342507420336046
feature_26,0.03183903696189152
feature_1,0.025939213384979863
feature_12,0.0241458565449812
feature_13,0.01991355616415653
feature_8,0.017258944218831646
feature_25,0.01672450932938524
feature_9,0.014261085200871687
feature_144,0.010140523363122258
feature_164,0.00993066794646053
feature_177,0.009351092453853758
feature_30,0.009102846785807027
feature_37,0.007430668146662795
feature_16,0.0066110775898952125
feature_14,0.006564548476369888
feature_166,0.005429440819391078
feature_150,0.005428720945941839
feature_17,0.0051671330890341125
feature_15,0.005130085115043293
feature_169,0.0038812566585374126
feature_29,0.00383411461042603
feature_24,0.0037821487689762207
feature_23,0.002690663197277542
feature_179,0.002630615147576604
feature_109,0.002570513892866456
feature_151,0.002360752790659319
feature_182,0.0019863197811508886
feature_173,0.0016000144415216117
feature_128,0.001571011043120552
feature_168,0.0009332444701052995
feature_167,0.00033211715222227503
feature_175,0.00030376005223825195
feature_28,0.0002847195615863964
feature_171,0.00023807958973772698
feature_73,0.0002195118810585224
feature_83,0.00021497846277820798
feature_27,0.00018711175948681323
feature_141,0.00016116826765031654
feature_68,0.0001446819909676359
feature_142,0.00013915292519129508
feature_131,0.00011918125627440545
feature_102,0.00011250320820615647
feature_178,0.00010800568743004952
feature_165,0.00010366632687087595
feature_139,6.42944111282413e-05
feature_123,5.586144857971987e-05
feature_183,5.53841131716643e-05
feature_42,4.982816420566024e-05
feature_63,3.678804574372032e-05
feature_172,2.852783353344292e-05
feature_104,2.3699572332039544e-05
feature_111,2.0782369857071536e-05
feature_176,1.498821243698152e-05
feature_174,1.3242892170727036e-05
feature_170,1.0763578531414217e-05
feature_76,8.653182926010177e-06
feature_75,7.966004317401665e-06
feature_34,7.925510859921161e-06
feature_122,6.503690048249295e-06
feature_121,6.150992089175982e-06
feature_40,4.530966428975988e-06
feature_61,4.514140334925189e-06
feature_70,3.8091813098703024e-06
feature_160,3.4420761902965664e-06
feature_65,3.0948303524103747e-06
feature_60,3.029320624660645e-06
feature_115,2.879962856179729e-06
feature_146,2.5234257018359785e-06
feature_127,2.5053107229908038e-06
feature_110,2.3968744169177626e-06
feature_156,2.3283426488398924e-06
feature_184,2.219397754063515e-06
feature_181,2.0262715185035117e-06
feature_120,1.9450374286169e-06
feature_31,1.91946932371808e-06
feature_56,1.907031520432236e-06
feature_162,1.8513111534043554e-06
feature_159,1.8081532528607931e-06
feature_101,1.7368335314795177e-06
feature_69,1.7227257839806686e-06
feature_58,1.6301696812469068e-06
feature_108,1.600765349116393e-06
feature_81,1.5963582885567429e-06
feature_52,1.5630750220192623e-06
feature_134,1.493019144020467e-06
feature_90,1.4737099253840291e-06
feature_148,1.2566005012651423e-06
feature_147,1.2411509708375319e-06
feature_154,1.1412089735380195e-06
feature_66,1.1288442893446665e-06
feature_84,1.1219995957400657e-06
feature_62,1.0891503227261553e-06
feature_152,1.0518298976126392e-06
feature_48,1.046518554469933e-06
feature_93,1.0262793895605655e-06
feature_135,1.0194990451280646e-06
feature_59,1.00275263119352e-06
feature_158,9.733401571944239e-07
feature_47,9.469519074901513e-07
feature_79,9.128441725727043e-07
feature_105,9.086602683576009e-07
feature_80,8.93535686679697e-07
feature_92,8.885396184963437e-07
feature_119,8.346690131546344e-07
feature_46,8.305401720292095e-07
feature_97,8.254523925974738e-07
feature_106,8.075418693158565e-07
feature_51,8.005709561968696e-07
feature_77,7.925424701888836e-07
feature_35,7.877191673713728e-07
feature_103,7.728081936620718e-07
feature_96,6.867926719798818e-07
feature_50,6.779436451574466e-07
feature_49,6.717534719219169e-07
feature_136,6.654994193990415e-07
feature_45,6.646066905138131e-07
feature_87,6.475875878730466e-07
feature_44,6.196797868154147e-07
feature_116,6.196061737271549e-07
feature_98,6.04520707696076e-07
feature_57,5.921277259891468e-07
feature_112,5.839092657830838e-07
feature_145,5.4271171062572e-07
feature_72,5.410418744817436e-07
feature_118,5.385713620962502e-07
feature_163,5.296954780335878e-07
feature_129,5.226728517116218e-07
feature_36,4.322237083096372e-07
feature_153,3.9664790776915703e-07
feature_132,3.8395594710810996e-07
feature_138,3.602516455013558e-07
feature_88,3.5494348593678876e-07
feature_157,3.2910643534376414e-07
feature_54,3.222115261667618e-07
feature_38,3.0571394540059647e-07
feature_125,3.0040385619378476e-07
feature_130,2.898366797314867e-07
feature_55,2.700672727399938e-07
feature_107,2.433703339392795e-07
feature_71,2.4090921754091664e-07
feature_99,2.3170641080746584e-07
feature_78,2.1992515750137687e-07
feature_91,2.0803004279728483e-07
feature_117,1.9366993462938432e-07
feature_53,1.8356542848213513e-07
feature_124,1.7088942812112826e-07
feature_32,1.6471687342164858e-07
feature_114,1.6246679851218423e-07
feature_95,1.5210236943408147e-07
feature_149,1.4833790165443994e-07
feature_185,1.4171412138696693e-07
feature_100,1.400510530033118e-07
feature_113,1.3580662463581335e-07
feature_39,1.2190339940492709e-07
feature_43,1.086043308429814e-07
feature_74,1.0218909483667041e-07
feature_137,9.897191701238865e-08
feature_94,9.758338675539111e-08
feature_89,7.718402376219343e-08
feature_86,7.057014861380142e-08
feature_33,6.36967968080894e-08
feature_155,6.217891548972889e-08
feature_143,4.1011302313447586e-08
feature_126,4.041726054923758e-08
feature_85,3.75766627444283e-08
feature_140,3.4161943955753474e-08
feature_161,3.0435309445233e-08
feature_41,1.5717818536522316e-08
feature_133,8.655634492270478e-09
feature_82,8.56762188713002e-09
feature_67,6.643410314825325e-09
feature_64,4.642799049072314e-10
